iter	Logloss
0	0.08847600315
1	0.04974513022
2	0.02746094411
3	0.01854871569
4	0.01669272146
5	0.01544557537
6	0.01509796479
7	0.01472839371
8	0.01272294213
9	0.01214263251
10	0.01188257024
11	0.01088631139
12	0.01068034854
13	0.01054118831
14	0.0104968184
15	0.01017396647
16	0.009890309191
17	0.009740439488
18	0.009549902979
19	0.009498137324
20	0.009440197628
21	0.009393145976
22	0.009320275458
23	0.009154582839
24	0.009054680717
25	0.008983536704
26	0.008902158996
27	0.00888861262
28	0.008834286163
29	0.008779538511
30	0.00860947712
31	0.008522713481
32	0.008454824387
33	0.008406814505
34	0.008382724927
35	0.007990613485
36	0.007936282935
37	0.007843333738
38	0.007777134318
39	0.007762526386
40	0.007721292629
41	0.007711611694
42	0.007671173041
43	0.007565095542
44	0.007548802237
45	0.007530102669
46	0.007507219547
47	0.007495416253
48	0.007474965064
49	0.007457410355
50	0.007388090239
51	0.007336705654
52	0.00732639034
53	0.007309751759
54	0.007252065438
55	0.007239894777
56	0.007222808356
57	0.007215079978
58	0.007197909851
59	0.007175752928
60	0.007174239816
61	0.007154713583
62	0.007104735628
63	0.007085119564
64	0.007067249205
65	0.007017197604
66	0.007000136845
67	0.006980059117
68	0.006924170577
69	0.00691403953
70	0.00689446804
71	0.006887381141
72	0.006874766753
73	0.00686580431
74	0.006845878946
75	0.006841569997
76	0.006827509744
77	0.006790445659
78	0.006778691287
79	0.006768773515
80	0.006731717772
81	0.006693374852
82	0.006626050003
83	0.006614476883
84	0.00656055049
85	0.006549614384
86	0.006538394333
87	0.006522204978
88	0.00651939423
89	0.006498861076
90	0.006490531377
91	0.006413421316
92	0.006398807626
93	0.00639146115
94	0.006374014605
95	0.00636562958
96	0.006356773196
97	0.006354173898
98	0.006340721532
99	0.006340616703
100	0.006312844355
101	0.006253327841
102	0.006244166294
103	0.006148747048
104	0.006130406625
105	0.006090923482
106	0.006049931097
107	0.006027566305
108	0.006018234222
109	0.006008900993
110	0.005990022782
111	0.005983671376
112	0.005938213148
113	0.005927856331
114	0.005926201108
115	0.00591110652
116	0.005889653864
117	0.005880792385
118	0.005879947773
119	0.005879725344
120	0.005870638481
121	0.005857249567
122	0.005829096875
123	0.005815533905
124	0.005776990159
125	0.005717656131
126	0.005708577162
127	0.00568739434
128	0.005680810995
129	0.0056805284
130	0.005632147003
131	0.005621057117
132	0.005620589344
133	0.005598419998
134	0.005574814086
135	0.005566292708
136	0.005559445035
137	0.00555530451
138	0.005540883686
139	0.00551824529
140	0.005505314431
141	0.005504768993
142	0.005492060727
143	0.005441453119
144	0.005433878924
145	0.005430062579
146	0.00542451589
147	0.005413757932
148	0.005368303691
149	0.005357726956
150	0.005344935883
151	0.005340461224
152	0.005317800805
153	0.005315898972
154	0.005310095435
155	0.005300753063
156	0.005293186837
157	0.005285012942
158	0.005278831794
159	0.005276109579
160	0.005272135092
161	0.005264012844
162	0.00525639246
163	0.005247435153
164	0.005245227967
165	0.005242654831
166	0.005221889674
167	0.00521402888
168	0.005209132015
169	0.005182898923
170	0.005175682786
171	0.005173202258
172	0.005168791391
173	0.005157910289
174	0.005151847623
175	0.005145178247
176	0.00513983874
177	0.005136052527
178	0.005133356245
179	0.00513010618
180	0.005120036863
181	0.005110049471
182	0.005107313787
183	0.005092309516
184	0.005088980462
185	0.0050029194
186	0.004994044818
187	0.004992212664
188	0.004921144165
189	0.004918946128
190	0.004911649523
191	0.004903922438
192	0.0048972694
193	0.004883371057
194	0.004870053553
195	0.004862935582
196	0.004858230499
197	0.004854428884
198	0.004850361849
199	0.004841802239
